displaytitle,description,class
How to Create a Header in MLA Format,Check your document margins and settings first,21-30secs
How to Tame Messy Morning Hair,Sleep on satin pillowcases,1-10secs
How to Stay Safe in a Science Lab at School,Know where the safety equipment is located,21-30secs
How to Get Well Fast,Stay hydrated,21-30secs
How to Fall Asleep,Make your room cool clean and quiet,51-60secs
How to Measure Fundal Height,Make an appointment with your doctor or healthcare practitioner,11-20secs
How to Stimulate Your Hair Follicles,Wash your hair thoroughly if you used oil,11-20secs
How to Use a Hair Diffuser,Wash your hair,11-20secs
How to Fix Your Digestion,Avoid excessive alcohol consumption,1-10secs
How to Fix Your Digestion,Avoid spicy foods,1-10secs
How to Make Your Hair Silky and Shiny with Vinegar,Mix vinegar and water,1-10secs
How to Make Your Hair Silky and Shiny with Vinegar,Wait five to ten minutes,21-30secs
How to Prepare Release Notes,Detail system requirements,11-20secs
How to Work for Family,Ask for a job description,11-20secs
How to Layer Beauty Products,Use a cleanser,11-20secs
How to Layer Beauty Products,Apply toner,1-10secs
How to Layer Beauty Products,Press in serum,1-10secs
How to Treat Narcolepsy Naturally,Get regular exercise,1-10secs
How to Do a Super Fun Facial Two Different Ways,If you don't have any moisturizers the next best thing is lotion,11-20secs
How to Create a Ribbon Wrapped Ponytail,Place a piece of double-sided tape on one of the ribbon ends,11-20secs
How to Create a Ribbon Wrapped Ponytail,Press the taped end down firmly.As you get towards the end of your ribbon you will reached the taped part,1-10secs
How to Make Lotion,Select and gather ingredients and equipment as needed,41-50secs
How to Choose an Oral Pathologist,Ask your doctor or dentist for a recommendation,11-20secs
How to Naturally Treat Insomnia,Work on your breathing,31-40secs
How to Make a Bun,Prep your hair,11-20secs
How to Weigh Your Breasts,Weigh the tray filled with water,1-10secs
How to Write Sentences That Paint Pictures,Throw out boring words!,21-30secs
How to Be Honest,Figure out why you lie and who you lie to,11-20secs
How to Dye Bleached Hair,Rinse your hair,1-10secs
How to Apply Liquid Metal Eyeshadow,Use your finger to gently pat the eyeshadow onto your eyelid,11-20secs
How to Avoid Lip Chapping During Winter,Stop yourself from licking or biting your lips,11-20secs
How to Avoid Lip Chapping During Winter,Wear something over your face,11-20secs
How to Avoid Lip Chapping During Winter,Breathe through your nose,1-10secs
How to Avoid Lip Chapping During Winter,Use a humidifier,11-20secs
How to Come Up with a Topic to Write About,Read any available prompt very carefully,51-60secs
How to Alter Pants,Pin your pants,11-20secs
How to Play Benchball,Prevent the catch,11-20secs
How to Play Benchball,Falling off the bench,1-10secs
How to Break Your Push Ups Personal Record,Observe how others do high amounts of push-ups and bench presses,1-10secs
How to Break Your Push Ups Personal Record,Before doing push-ups be warmed up for optimal results,1-10secs
How to Avoid Mercury in Your Skin Products,Recognize common products that use mercury,51-60secs
How to Use Eyebrow Pencil,Determine if your eyebrows are the same height,1-10secs
How to Be Cool in Seventh Grade,Take a shower,51-60secs
How to Make Eyebrows Darker,Apply color to the outer half of your eyebrows,1-10secs
How to Make Eyebrows Darker,Clean your eyebrows,11-20secs
How to Improve Your Ability to Learn Quickly,Create a mindmap,41-50secs
How to Talk Your Parents Into Buying You a Car,Evaluate your financial situation honestly,41-50secs
How to Bleach Colored Canvas Shoes,Take the shoes out of the bleach solution and wash them using soap and water,1-10secs
How to Help Around the House,Ask other people if they need help,11-20secs
How to Clean a Flat Iron,Rub down the iron with alcohol and a cotton ball,1-10secs
How to Clean a Flat Iron,Make a baking soda and hydrogen peroxide paste,1-10secs
How to Get Ready for High School (Girls),If you can aim for plastic covers on your notebooks and folders,1-10secs
How to Get Ready for High School (Girls),While a computer can be helpful while studying don't bring it to class,11-20secs
How to Get Your Mom to Forgive You After You Do Something Stupid,Follow the rules,51-60secs
How to Lead With Your Strengths,Find your strengths,11-20secs
How to Lead With Your Strengths,Write strength statements,11-20secs
How to Do Quick Chores Your Parents Will Appreciate,Clean the TV screens,1-10secs
How to Be a Fangirl,Learn fandom terminology,1-10secs
How to Be Friendly and Kind,Offer help,1-10secs
How to Use an Android Tablet,Set up your Android tablet,11-20secs
How to Use an Android Tablet,Customize your Android,21-30secs
How to Tell if Someone Is Your Friend,Consider how they are when you need help,1-10secs
How to Meet Other Lesbians,Look for LGBT community events,1-10secs
How to Deal with Your Partner's Creepy Friend,Be polite,11-20secs
How to Become Rare on Animal Jam,Do the Forgotten Desert And other adventures A lot of good rares are usually rewarded from this adventure,31-40secs
How to Get Rid of Blackheads When Your Skin is Sensitive,Do not scrub or exfoliate your face,11-20secs
How to Tame a Green Anole,Interact with the lizard regularly,31-40secs
How to Tame a Green Anole,Wash your hands after handling,11-20secs
How to Monitor Your Preschooler's TV Viewing,Choose according to your child's age,21-30secs
How to Make Ric Rac Flowers,Lay down another row of ric rac and stitch it in place,31-40secs
How to Choose a Nice Watch,Determine your price range,1-10secs
How to Serve Food on Fantage,Go to the costumers table when you have the order,11-20secs
How to Supplement Vitamin D in Babies,Determine how much vitamin D your baby needs,1-10secs
How to Tell if an Emerald Is Real,Look for flaws through a magnifying lens or jeweler's loupe,1-10secs
How to Dress Nice Every Day (for Girls),Plan your outfits,11-20secs
How to Breed Rare Dragons on Dragonvale,Understand the breeding process,31-40secs
How to Put a Picture in a Locket,Cut out the photo to the same size as the template,21-30secs
How to Make Fermented Spider Eye in Minecraft,Use the Wood Planks,31-40secs
How to Make Fermented Spider Eye in Minecraft,Click on the Crafting Table,11-20secs
How to Make Fermented Spider Eye in Minecraft,Get Brown Mushroom,11-20secs
How to Make Fermented Spider Eye in Minecraft,Get Sugar,21-30secs
How to Make Fermented Spider Eye in Minecraft,Use the Fermented Spider Eye for brewing,41-50secs
How to Tell Your Parents You Are Gay,Choose the right time and place,51-60secs
How to Dress Uniquely (Preteen Girls),Go through everything in your closet,11-20secs
How to Babysit an Infant,Have a fill in form ready for the parents,1-10secs
How to Accessorize Outfits with Scarves,For a quick casual look tie your scarf in a modern one loop,11-20secs
How to Accessorize Outfits with Scarves,Use a scarf as a belt for a stylish addition to your bottoms,1-10secs
How to Accessorize Outfits with Scarves,Tie a scarf to your handbag,11-20secs
How to Accessorize Outfits with Scarves,Use your scarf as jewelry,21-30secs
How to Craft Items in Minecraft,Open the crafting screen,21-30secs
How to Explain Cross Dressing to a Child,Educate yourself on cross dressing behavior,1-10secs
How to Cope with Griefing on a Minecraft Tekkit Server,Craft force fields,11-20secs
How to Choose the Right Stroller for Your Baby,Do your research,11-20secs
How to Choose the Right Stroller for Your Baby,What features do you want?,1-10secs
How to Choose the Right Stroller for Your Baby,Get more than one type anyway,1-10secs
How to Complete the Witch's Potion Quest in RuneScape,Walk to Rimmington,51-60secs
How to Complete the Witch's Potion Quest in RuneScape,Accept the offer and she'll tell you that she needs a potion but needs you to find the ingredients,21-30secs
How to Complete the Witch's Potion Quest in RuneScape,Kill a bear cowchicken or a giant rat,1-10secs
How to Complete the Witch's Potion Quest in RuneScape,Go to Port Sarim to the Magic Shop,1-10secs
How to Complete the Witch's Potion Quest in RuneScape,Walk to the north of Rimmington until you see an onion patch,21-30secs
How to Have Creative Style (Tween Girls),Get nice tops,31-40secs
How to Have Creative Style (Tween Girls),Purchase nice shoes,31-40secs
How to Decorate Your Bedroom Like Aria Montgomery's from Pretty Little Liars,Get the right color palette,51-60secs
How to Get Into the Goth Scene,Understand the Gothic mindset,31-40secs
How to Get Into the Goth Scene,Teaching others about the subculture,31-40secs
How to Get Into the Goth Scene,Be yourself,31-40secs
How to Cheer up a Sad Child,Play together,41-50secs
How to Be Cool on RuneScape,Choose good clothing and a good hairstyle,1-10secs
How to Make a Zombie Place on Roblox,Don't be afraid to use some free models,11-20secs
How to Fight Ableism as a Nondisabled Person,Avoid assumptions,1-10secs
How to Fight Ableism as a Nondisabled Person,Recognize that their abilities may vary from day to day,11-20secs
How to Fight Ableism as a Nondisabled Person,Respect their problems and emotions visible or not,1-10secs
How to Play Backyard Monsters on Facebook,Start out on a stretch of grassland of which you are destined to build you great metropolis,11-20secs
How to Plan the Perfect Trip Using Libertrip,Choose where you want to go and start building,11-20secs
How to Plan the Perfect Trip Using Libertrip,Add Basic Trip Information,21-30secs
How to Plan the Perfect Trip Using Libertrip,Add Cities,21-30secs
How to Plan the Perfect Trip Using Libertrip,Add Activities,11-20secs
How to Plan the Perfect Trip Using Libertrip,Add Personal Notes,11-20secs
How to Plan the Perfect Trip Using Libertrip,Share with Friends,31-40secs
How to Plan the Perfect Trip Using Libertrip,Access your trip from anywhere in the world,21-30secs
How to Celebrate Teddy Bear's Picnic Day,if It is a girl then dress her up in dresses or accessories at build a bear and if it's a boy dress him up in smart clothes,21-30secs
How to Get Around London Easily,Know how you're going to travel,21-30secs
How to Make Protein Powder Taste Good,Choose a liquid,31-40secs
How to Get the Best Ever Ending on Grow Island,Click the steering wheel,11-20secs
How to Be Brave when Getting Bullied,Realize immediately that you are being bullied,11-20secs
How to Set Up a Wedding for Webkinz Plushies,Dress the couple with homemade clothing,41-50secs
How to Pack for School in Another Country,First research the country; from pop culture to cultural norms the weather to whether there is much nightlife,1-10secs
How to Beat Slender: The Eight Pages,Start the game,1-10secs
How to Beat Slender: The Eight Pages,Take a circular route around the map going out from the bathroom,31-40secs
How to Beat Slender: The Eight Pages,Remember that Slender Man gets faster and faster,1-10secs
How to Beat Slender: The Eight Pages,Be on super alert after the 5th note,1-10secs
How to Beat Slender: The Eight Pages,Don't look behind you when you have 6 pages (unless you have the guts to do so!,1-10secs
How to Make an Electromagnetic Pulse,Find a safe place to test your EMP device,21-30secs
How to Get Ultima Weapon in Kingdom Hearts,Beat Xigbar,21-30secs
How to Find Your Loftwing in the Legend of Zelda: Skyward Sword,Take an easy shortcut through the Waterfall Cave,1-10secs
How to Inspect the Mouth for Cancer,Check your face to look for growths sores moles or color changes,1-10secs
How to Be Effective in a Grifball Match on Halo,Be tactical,11-20secs
How to Be Effective in a Grifball Match on Halo,Use the ball wisely,41-50secs
